Indicator_type,Data,Note
Description,Samples and URLs related to a phishing campaign involving SVG file attachments,https://news.sophos.com/en-us/2025/02/05/svg-phishing/ ‎
domain,0zv9mdc0mbmsleku9upm4dlof4uxvcbxq0reu0xb50weg9xfgkydtemwrhrl.gageodeg.ru,
domain,6cs.yomivexan.ru,
domain,6p03mhvyzmxrqcsnkjn3hsr3tnymnoexrfi6ym1yelqzvhxnxrykp.ivertoneym.ru,
domain,8a9154be.a70278f1dde589d2c335ec25.workers.dev,
domain,9r6glypwbex1wkpsc8zka8dbztnqtluodwsaq4xc6ke5z4xxnq3x2.deryposi.ru,
domain,alphwas.com,
domain,b3ef5ac3.1d2b2fca038d9f91d6e7ecc4.workers.dev,
domain,bDrW.rxheartland.com,
domain,bkykzgibz0fxx1zscagnfovdasvwyou1rprsim5v0v2rnoea6jsxya7.futuxrecode.ru,
domain,bNrC.rxheartland.com,
domain,bwilw.divfln.com,
domain,cl6osv7o0aurm0308wyb7pqeih08fkdojhdbwff2kforbc1wq0klfw.efcommxerce.ru,
domain,connect.richtonparks.com,
domain,czqcw.livro.free.hr,
domain,deryposi.ru,
domain,divfln.com,
domain,dkgit.rxheartland.com,
domain,dnbie.livro.free.hr,
domain,drogdordr.ru,
domain,efcommxerce.ru,
domain,ehdji.solcorp.com.es,
domain,ervzk.livro.free.hr,
domain,expritraw.ru,
domain,futuxrecode.ru,
domain,gageodeg.ru,
domain,gknnt.livro.free.hr,
domain,gvfk.ubiqauitous1.com,
domain,hhx1rvbgguug6hil7tgrgn03iqain49pyjwenz9jpq1wvumd9zew3d94idt.futuxrecode.ru,
domain,hlvkfhardt.rocmodulaar.com,
domain,ibmwv.livro.free.hr,
domain,ie339kow.kic-il.co,
domain,ijyla.solcorp.com.es,
domain,ivertoneym.ru,
domain,jexzyiz.top,
domain,jhkaa.solcorp.com.es,
domain,juuld.livro.free.hr,
domain,kbvvvfcvcdrddftrtyuyfg.top,
domain,kcjkaenrefy9ppr8emxg8ksvqhoruvbb4vsguxy3yqgs32edbv.virtuxalhaven.ru,
domain,kGIT.rxheartland.com,
domain,lnmK.rxheartland.com,
domain,luhlw.livro.free.hr,
domain,mpnny.livro.free.hr,
domain,mtid.ubiqauitous1.com,
domain,MTID.ubiqauitous1.com,
domain,NWHk.rxheartland.com,
domain,odoq.ubiqauitous1.com,
domain,ODOQ.ubiqauitous1.com,
domain,ogQr.rxheartland.com,
domain,ojphw.solcorp.com.es,
domain,oylci.divfln.com,
domain,ozabx.solcorp.com.es,
domain,pbnrc.rxheartland.com,
domain,pgomb.livro.free.hr,
domain,plnlon.eu,
domain,pnpgq.solcorp.com.es,
domain,POcs.rxheartland.com,
domain,ptnzonlnie.alphwas.com,
domain,pub-10806bbc01324712a4eea4d6ab68e715.r2.dev,
domain,pub-203097e1699e466d8c216432c4292967.r2.dev,
domain,pub-203097e1699e466d8c216432c4292967.r2.dev,
domain,pub-321d3ac8a53a4437b7aeca70cc870af8.r2.dev,
domain,pub-40b739bbf7c840449ccc3730a9f61751.r2.dev,
domain,pub-427cbbc49d604735a326a273336ecc1a.r2.dev,
domain,pub-427cbbc49d604735a326a273336ecc1a.r2.dev,
domain,pub-431814eafc2f489491a50458db8cc2c8.r2.dev,
domain,pub-436b06d11c974c35b94e97b743b76b75.r2.dev,
domain,pub-5366a83cc5b941a4b9756f84c2e136cf.r2.dev,
domain,pub-5d2a04b102454307b276fe21fbef892f.r2.dev,
domain,pub-5e4779aabd594525877f11e026395ba6.r2.dev,
domain,pub-6228e5fc541f4f58a6a494af61068889.r2.dev,
domain,pub-6b9698bc799344ac9244248988ce8f30.r2.dev,
domain,pub-723c7a213e144bd29582c9de7325632d.r2.dev,
domain,pub-9751bbb31b7c4f9da0c9c99a95617156.r2.dev,
domain,pub-97e11b0344b74a80ac0467f414a9d29c.r2.dev,
domain,pub-9aa55fbebbbd4f4da6fee134d28246e7.r2.dev,
domain,pub-a5c97ae7527f4347b0e2c5dd533728fd.r2.dev,
domain,pub-a5c97ae7527f4347b0e2c5dd533728fd.r2.dev,
domain,pub-ad02b6a6490c454dbcfe8edf4c231f28.r2.dev,
domain,pub-b1ca0da91b0c4d469f9b91faeda4e513.r2.dev,
domain,pub-b5e7b98ebc74479ab5d3eba3223f4cac.r2.dev,
domain,pub-bf7d358b9f054b8b8af6fe7a9f2f112b.r2.dev,
domain,pub-daabfc3c46d94a099e0082ef2e93272b.r2.dev,
domain,pub-daabfc3c46d94a099e0082ef2e93272b.r2.dev,
domain,pub-e4c071be81d2408c889c5727d9321250.r2.dev,
domain,pub-e6e81cdfe34648fb9b0ec472835e7962.r2.dev,
domain,pub-edf5fd6433bd4241a7d7f730752b9608.r2.dev,
domain,pub-f310ff833ab24dc1b81b500bfadbc137.r2.dev,
domain,puiY.rxheartland.com,
domain,qpocs.rxheartland.com,
domain,qs.kieuwmm1.sa.com,
domain,richtonparks.com,
domain,rocmodulaar.com,
domain,rostrocglobal.com,
domain,rxheartland.com,
domain,rxhzql90vmshfsxynf9jpyjcfb5gim9kqiotzzvqu4rb2dnq1xvcb.drogdordr.ru,
domain,s54q12.top,
domain,sky-no-limit-foxer3310.tried-lord.workers.dev,
domain,sollll7654323456789876543ghjhgxjhgfdf.art,
domain,sollll7654323456789876543ghjhgxjhgfdf.life,
domain,solrrr7654323456789876543ghjhgxjhgfdf.art,
domain,sprocubseq.ru,
domain,telkonet.es,
domain,ubgkr.solcorp.com.es,
domain,ubiqauitous1.com,
domain,ufn.dzpvwobr.ru,
domain,vargn.rxheartland.com,
domain,vcaud.solcorp.com.es,
domain,view.montereyhoponhopoff.com,
domain,view.richtonparks.com,
domain,virtualporno.fr,
domain,virtuxalhaven.ru,
domain,virtuxalhaven.ru,
domain,vjknr.livro.free.hr,
domain,voizemaiil.plnlon.eu,
domain,vqrai.livro.free.hr,
domain,wvm211babnytsgsjpz029aa2lu7xa0bmzvzswsv5z0mknqd2jco.expritraw.ru,
domain,www.dcxjj.divfln.com,
domain,xgjiu9judibzhaadafnfsxlrwtq3wffpxu51wbtbwpp71kjd5mu5.ivertoneym.ru,
domain,yomivexan.ru,
domain,yoqgq.livro.free.hr,
domain,zaygqkdyqbsgmdwy3kynbfh9smowwfzhg6eoj05apfdh0q54mm6.virtuxalhaven.ru,
domain,zqfaku56k40scileomdfo8irq2jutjelnbjglrs1dqgzbawb1ecgfyqno.sprocubseq.ru,
sha256,0023145f2e2e29f703b79b655b62f7563b4d8590a4b78836239f0e3ab4fce4dc,
sha256,02694901ee0d4679593de03d9ca7c4306b046f544f6f07de9a3a873d6507ab04,
sha256,02da4fa87edf3cef4154604debdc12edb23c7594abf0b3b842ce9665a7c81156,
sha256,034d6d0183d51a282b550349f2d00097db9e345c1b605a70f2c9c6fc99b141bd,
sha256,0533f14bbc87837288574796db031c6d404991e78b34cfb35e86ba34910f8bd8,
sha256,056fc297c450db716ecce9e6875f8f5a5cdad36f5a393ae3f092c3375db1c991,
sha256,05c0c303659cf71bf67a3509d66a9ff64934b40ef721ecfc4720912b13caa200,
sha256,066b6ddfe41cc4e2ba8a0f55d7379799f8087c918f8375e05871578ed9a17f7d,
sha256,07b33e3902b30bc590bd0ea8479b172eac99585963627320f975561088770939,
sha256,09e48cd1013b56c2aa88459e81f85d12b719638e81168db702145cc6cf27501e,
