Indicator,Data,Note
Description,https://news.sophos.com/en-us/2023/03/29/3cx-dll-sideloading-attack/ ‎,Indicators of 3CX DLL-sideloading exploitation Mar-2023
SHA256,aa124a4b4df12b34e74ee7f6c683b2ebec4ce9a8edcf9be345823b4fdcf5d868,WIN: MSI 3cxdesktopapp-18.12.407.msi
SHA256,59e1edf4d82fae4978e97512b0331b7eb21dd4b838b850ba46794d9c7a2c0983,WIN: 3cxdesktopapp-18.12.416.msi
SHA256,c485674ee63ec8d4e8fde9800788175a8b02d3f9416d0e763360fff7f8eb4e02,WIN: ffmpeg.dll signed by 3CX Ltd - backdoored at entry point
SHA256,7986bbaee8940da11ce089383521ab420c443ab7b15ed42aed91fd31ce833896,WIN: ffmpeg.dll - backdoored at entry point
SHA256,11be1803e2e307b647a8a7e02d128335c448ff741bf06bf52b332e0bbf423b03,WIN: d3dcompiler_47.dll
SHA256,4e08e4ffc699e0a1de4a5225a0b4920933fbb9cf123cde33e1674fde6d61444f,File at http[:]//raw.githubusercontent[.]com/IconStorages/images/main/icon13.ico
SHA256,a64fa9f1c76457ecc58402142a8728ce34ccba378c17318b3340083eeb7acc67,MAC: libffmpeg.dylib
SHA256,e6bbc33815b9f20b0cf832d7401dd893fbc467c800728b5891336706da0dbcec,MAC: 3CXDesktopApp-18.12.416.dmg -- deprecated version of software
URL,raw.githubusercontent.com/IconStorages/images/main/,Used for staging encoded malware
URL,akamaicontainer[.]com,C2 (malware/callhome)
URL,akamaitechcloudservices[.]com,C2 (malware/callhome)
URL,azuredeploystore[.]com,C2 (malware/callhome)
URL,azureonlinecloud[.]com,C2 (malware/callhome)
URL,azureonlinestorage[.]com,C2 (malware/callhome)
URL,dunamistrd[.]com,C2 (malware/callhome)
URL,glcloudservice[.]com,C2 (malware/callhome)
URL,journalide[.]org,C2 (malware/callhome)
URL,msedgepackageinfo[.]com,C2 (malware/callhome)
URL,msstorageazure[.]com,C2 (malware/callhome)
URL,msstorageboxes[.]com,C2 (malware/callhome)
URL,officeaddons[.]com,C2 (malware/callhome)
URL,officestoragebox[.]com,C2 (malware/callhome)
URL,pbxcloudeservices[.]com,C2 (malware/callhome)
URL,pbxphonenetwork[.]com,C2 (malware/callhome)
URL,pbxsources[.]com,C2 (malware/callhome)
URL,qwepoi123098[.]com,C2 (malware/callhome)
URL,sbmsa[.]wiki,C2 (malware/callhome)
URL,sourceslabs[.]com,C2 (malware/callhome)
URL,visualstudiofactory[.]com,C2 (malware/callhome)
URL,zacharryblogs[.]com,C2 (malware/callhome)
