Indicator_type,Data,Note
Description, https://news.sophos.com/en-us/2023/05/18/the-phantom-menace-brute-ratel-remains-rare-and-targeted/,Observed IoCs for Brute Ratel attacks
sha256,f31d785e7dc5d715a768d0d9565488cbeeb9ab35e4a0895785ecea533692176a,zip file containing Brute Ratel deployment script
ip,5.78.50.172,Destination of Brute Ratel C2 request
filename,emp1_julie ramzel_1040_1120s 2019-2021.zip,Delivery file for Brute Ratel installer
filename,passwords_julie ramzel_1040_1120s 2019-2021.js,Brute Ratel installation / persistence script
sha256,4a8495f03644db7a08d5a995b4f373eff2ade8e61261fb4818ac0bb9da7b0540,ATK/Brutel-K
sha256,f86770a368d75ece9b8542e3087218c01676c0444e18d5d68f53902619049462,ATK/Brutel-H
sha256,f1087f4eff735123ec5ec7fe67b11208c73fc49110bde60cecd42f1a10ed9c89,ATK/Brutel-H
sha256,88908f7a8834ba08a69403af99aca50f61cb8c571fe6b50046ccba5b146f5a45,ATK/Brutel-L
sha256,fe010ed0549c00326f4319c1ac2d16684957a2fd09e0c7bbfec55e92f5d8606c,ATK/Brutel-L
sha256,d5b0c42ef9642dce715b252a07fc07ad9917bfdc13bd699d517b78210cc6ec60,Brute Ratel archive 
