Indicator_Type,Data,Note
Description,Indicators of compromise for FlowerStorm phishing-as-a-service kit,Source:https://news.sophos.com/en-us/2024/12/19/phishing-platform-rockstar-2fa-trips-and-flowerstorm-picks-up-the-pieces/
domain,1022627789.businesslawyeroutlook.com,FlowerStorm phishing domain
domain,1064557304.brandlawdocs.com,FlowerStorm phishing domain
domain,1066591224.invoicingconstructionlaw.com,FlowerStorm phishing domain
domain,1066591224.my.id,FlowerStorm phishing domain
domain,1069083060.site,FlowerStorm phishing domain
domain,1105156909.my.id,FlowerStorm phishing domain
domain,1109388872.appinvoices.com,FlowerStorm phishing domain
domain,1182480952.appinvoices.com,FlowerStorm phishing domain
domain,1183502499.fun,FlowerStorm phishing domain
domain,1183502499.my.id,FlowerStorm phishing domain
domain,1203147076.businesslegalfederal.com,FlowerStorm phishing domain
domain,1261808697.my.id,FlowerStorm phishing domain
domain,1261808697x.constructionfederal.com,FlowerStorm phishing domain
domain,1265244961.my.id,FlowerStorm phishing domain
domain,1265342062.lawyerinvoicehub.com,FlowerStorm phishing domain
domain,1268187264.my.id,FlowerStorm phishing domain
domain,1270872185.lawfinancelabel.com,FlowerStorm phishing domain
domain,1270872185.my.id,FlowerStorm phishing domain
domain,1270872185.space,FlowerStorm phishing domain
domain,1271362249.my.id,FlowerStorm phishing domain
domain,1306699059.businesslawyeroutlook.com,FlowerStorm phishing domain
domain,1325438698.constructionlawus.com,FlowerStorm phishing domain
domain,1330394848.site,FlowerStorm phishing domain
domain,1349653976.my.id,FlowerStorm phishing domain
domain,1355322688.my.id,FlowerStorm phishing domain
domain,1381488073.constructionfederal.com,FlowerStorm phishing domain
domain,1404414201.my.id,FlowerStorm phishing domain
domain,1419993777.my.id,FlowerStorm phishing domain
domain,1486057043.brandlawdocs.com,FlowerStorm phishing domain
domain,1518076290.my.id,FlowerStorm phishing domain
domain,1518292281.lawyerinvoicehub.com,FlowerStorm phishing domain
domain,1548899511.brandlawdocs.com,FlowerStorm phishing domain
domain,1548899511.my.id,FlowerStorm phishing domain
domain,1548899511.space,FlowerStorm phishing domain
domain,1549528275.my.id,FlowerStorm phishing domain
domain,1557129175.cloud,FlowerStorm phishing domain
domain,1585794595.courtdocumentsupport.com,FlowerStorm phishing domain
domain,1585794595.my.id,FlowerStorm phishing domain
domain,1595475048.database-server.com,FlowerStorm phishing domain
domain,1616117488.site,FlowerStorm phishing domain
domain,1620798101.my.id,FlowerStorm phishing domain
domain,1625878295.businesslawfederal.com,FlowerStorm phishing domain
domain,1628866669.constructionlawcourts.com,FlowerStorm phishing domain
domain,1678474613.space,FlowerStorm phishing domain
domain,1686966416.my.id,FlowerStorm phishing domain
domain,1699745252.space,FlowerStorm phishing domain
domain,1714326380.constructionlawus.com,FlowerStorm phishing domain
domain,1716513332.my.id,FlowerStorm phishing domain
domain,1724225570.constructionlawus.com,FlowerStorm phishing domain
domain,1745604447.my.id,FlowerStorm phishing domain
domain,1753599960.my.id,FlowerStorm phishing domain
domain,1768324954.businesslawfederal.com,FlowerStorm phishing domain
domain,1780937851.brandlawdocs.com,FlowerStorm phishing domain
domain,1782236572.my.id,FlowerStorm phishing domain
domain,1789884576.my.id,FlowerStorm phishing domain
domain,1791122463.my.id,FlowerStorm phishing domain
domain,1810571447.my.id,FlowerStorm phishing domain
domain,1814203771.my.id,FlowerStorm phishing domain
domain,1822912119.space,FlowerStorm phishing domain
domain,1883931553.database-server.com,FlowerStorm phishing domain
domain,1883931553.my.id,FlowerStorm phishing domain
domain,1893892123.businesslegalfederal.com,FlowerStorm phishing domain
domain,1894943869.lawfinancelabel.com,FlowerStorm phishing domain
domain,1894943869.my.id,FlowerStorm phishing domain
domain,1895647876.my.id,FlowerStorm phishing domain
domain,1901534293.federaldocapp.com,FlowerStorm phishing domain
domain,1910531738.my.id,FlowerStorm phishing domain
domain,1918066939.my.id,FlowerStorm phishing domain
domain,1920141022.my.id,FlowerStorm phishing domain
domain,1923202829.my.id,FlowerStorm phishing domain
domain,1930114731.my.id,FlowerStorm phishing domain
domain,1938129520.appinvoices.com,FlowerStorm phishing domain
domain,1938129520.my.id,FlowerStorm phishing domain
domain,1943588534.my.id,FlowerStorm phishing domain
domain,1960373846.constructionregs.com,FlowerStorm phishing domain
domain,2011567526.invoicingconstructionlaw.com,FlowerStorm phishing domain
domain,2011567526.my.id,FlowerStorm phishing domain
domain,2028069392.my.id,FlowerStorm phishing domain
domain,2033164578.my.id,FlowerStorm phishing domain
domain,2060308021.my.id,FlowerStorm phishing domain
domain,2064085560.my.id,FlowerStorm phishing domain
domain,2068153199.my.id,FlowerStorm phishing domain
domain,2068350672.my.id,FlowerStorm phishing domain
domain,2095840436.invoicingconstructionlaw.com,FlowerStorm phishing domain
domain,2096632368.my.id,FlowerStorm phishing domain
domain,2105343190.constructionregs.com,FlowerStorm phishing domain
domain,2105343190x.constructionregs.com,FlowerStorm phishing domain
domain,2106410770.my.id,FlowerStorm phishing domain
domain,2107731728.site,FlowerStorm phishing domain
domain,2108259094.site,FlowerStorm phishing domain
domain,2108460472.my.id,FlowerStorm phishing domain
domain,2116926783.my.id,FlowerStorm phishing domain
domain,2124129523.my.id,FlowerStorm phishing domain
domain,2125053267.site,FlowerStorm phishing domain
domain,2136074160.businesslawfederal.com,FlowerStorm phishing domain
domain,2136074160.my.id,FlowerStorm phishing domain
domain,2137793517.invocelaw.com,FlowerStorm phishing domain
domain,2145872626.my.id,FlowerStorm phishing domain
domain,379646778.my.id,FlowerStorm phishing domain
domain,379646778.space,FlowerStorm phishing domain
domain,4501865353.my.id,FlowerStorm phishing domain
domain,467157833.my.id,FlowerStorm phishing domain
domain,5001103938.my.id,FlowerStorm phishing domain
domain,5005296674.invocelaw.com,FlowerStorm phishing domain
domain,5005296674.invoicingconstructionlaw.com,FlowerStorm phishing domain
domain,5005296674.site,FlowerStorm phishing domain
domain,5013230888.lawyerinvoicehub.com,FlowerStorm phishing domain
domain,5013230888.site,FlowerStorm phishing domain
domain,5023386162.brandlawdocs.com,FlowerStorm phishing domain
domain,5023386162.cloud,FlowerStorm phishing domain
domain,5034676499.my.id,FlowerStorm phishing domain
domain,5036511802.appinvoices.com,FlowerStorm phishing domain
domain,5043056047.site,FlowerStorm phishing domain
domain,5047684918.businesslegalfederal.com,FlowerStorm phishing domain
domain,5057800248.appinvoices.com,FlowerStorm phishing domain
domain,5059053048.my.id,FlowerStorm phishing domain
domain,5072436762.courtdocumentsupport.com,FlowerStorm phishing domain
domain,5072436762.lawfinancelabel.com,FlowerStorm phishing domain
domain,5072571567.site,FlowerStorm phishing domain
domain,5093111612.my.id,FlowerStorm phishing domain
domain,5096052331.courtdocumentsupport.com,FlowerStorm phishing domain
domain,5102487645.my.id,FlowerStorm phishing domain
domain,5106178700.xyz,FlowerStorm phishing domain
domain,5116836530.my.id,FlowerStorm phishing domain
domain,5122809283.federaldocapp.com,FlowerStorm phishing domain
domain,5126067992.invoicingconstructionlaw.com,FlowerStorm phishing domain
domain,5136040640.invoicingconstructionlaw.com,FlowerStorm phishing domain
domain,5140111679.businesslawfederal.com,FlowerStorm phishing domain
domain,5142199441.businesslegalfederal.com,FlowerStorm phishing domain
domain,5145178238.my.id,FlowerStorm phishing domain
domain,5165691148.my.id,FlowerStorm phishing domain
domain,5167648225.my.id,FlowerStorm phishing domain
domain,5169367063.my.id,FlowerStorm phishing domain
domain,5190157411.my.id,FlowerStorm phishing domain
domain,5199156241.my.id,FlowerStorm phishing domain
domain,5200447943.my.id,FlowerStorm phishing domain
domain,5200447943.space,FlowerStorm phishing domain
domain,5205233323.appinvoices.com,FlowerStorm phishing domain
domain,5212084691.appinvoices.com,FlowerStorm phishing domain
domain,5217002285.site,FlowerStorm phishing domain
domain,5230315137.my.id,FlowerStorm phishing domain
domain,5253999887.my.id,FlowerStorm phishing domain
domain,5261427917.my.id,FlowerStorm phishing domain
domain,5261427917.space,FlowerStorm phishing domain
domain,5270889476.lawfinancelabel.com,FlowerStorm phishing domain
domain,5271714586.appinvoices.com,FlowerStorm phishing domain
domain,5288874037.my.id,FlowerStorm phishing domain
domain,5322129544.constructionfederal.com,FlowerStorm phishing domain
