Indicator,Data,Note
Description,https://news.sophos.com/en-us/2023/07/26/into-the-tank-with-nitrogen/,"Indicators of compromise associated with the Nitrogen initial-access campaign, July 2023"
sha256,0af013ad0548b992d50287e3b11963cad9aa0af1f1e47e254637d28ee05208d8,file downloaded from Cobalt Strike server -- *work3
sha256,0daf5c0f374e9a03fbe24dbcb4f0a24837a35bc2f0ca76ca35bb705f8c079486,ISO installers
sha256,0dbce3ef7f5be8+B53:B88e1008bfa15341d2729724fef8e128555d014ac67ecc205bd76,msi.dll (NitrogenInstaller)
ip,104.18.25.181,C2 server
ip,104.234.11.121,C2 server
ip,104.234.11.236,C2 server
ip,104.234.147.11,C2 server
sha256,13090722ba985bafcccfb83795ee19fd4ab9490af1368f0e7ea5565315c067fe,msi.dll (NitrogenInstaller)
ip,141.98.6.95,C2 server
ip,141.98.6.96,C2 server
ip,146.70.87.4,C2 server
sha256,150f3356485c26039dc145d0bedda265d3e9626fd1f3a180455f8b911c53c260,msi.dll (NitrogenInstaller)
ip,157.254.195.108,C2 server
ip,157.254.195.210,C2 server
ip,157.254.195.53,C2 server
ip,157.254.195.83,C2 server
ip,166.0.94.216,C2 server
ip,167.88.164.130,C2 server
ip,167.88.164.141,Cobalt Strike C2 servers
ip,167.88.164.95,C2 server
ip,167.88.165.18,C2 server
ip,172.217.13.110,C2 server
ip,172.86.123.127,Cobalt Strike C2 servers
sha256,17c1a8ee6fd18c7a75270c31b6602c12592242affdd6608f5297a8bb88376923,msi.dll (NitrogenInstaller)
ip,185.246.222.15,C2 server
ip,185.254.37.216,C2 server
ip,185.254.37.217,C2 server
sha256,21e7bcc03c607e69740a99d0e9ae8223486c73af50f4c399c8d30cce4d41e839,python310.dll (NitrogenStager)
ip,23.227.196.140,Cobalt Strike C2 servers
ip,23.227.203.241,C2 server
sha256,237c18bbd8fb8f74710dacaf7795c473a988b66fce667facc6f17b2c6e071745,msi.dll (NitrogenInstaller)
sha256,25467df66778077cc387f4004f25aa20b1f9caec2e73b9928ec4fe57b6a2f63c,WinSCP-6.1-Setup.iso -- Trojanized installer
sha256,26a68bfc0d40b3cc49af1958f2004f404c960663b140fd612a2a53ccaf99f004,python310.dll (NitrogenStager)
sha256,2eb2ef7a562145a0faf3c82f439221908adfcc784022a64e5bb17a432f4a8a91,WinSCP-6.1-Setup.iso -- Trojanized installer
sha256,2f4f365613172848df3e91d43514b9da34b8c84eded8fae683f94586d22f86cf,file downloaded from Cobalt Strike server -- *work5
sha256,332e19cc0f71a5dcbfc3d24fb08564589d0cb884d21d1fddbbf9c0230d678ec0,file downloaded from Cobalt Strike server -- *work3.py
sha256,3346a4f9f253a8251e14f0d42138e5b4420dd3c1b46afcd9f688d4e26c98c561,file downloaded from Cobalt Strike server -- *work8
sha256,35c33e9e84e9e040da42b3d6e9c3c00e8f0dff2e7ee8bb59625c7378d89f3b37,msi.dll (NitrogenInstaller)
sha256,3ce4ed3c7bd97b84045bdcfc84d3772b4c3a29392a9a2eee9cc17d8a5e5403ce,python310.dll (NitrogenStager)
ip,45.12.253.137,C2 server
ip,45.61.128.133,Cobalt Strike C2 servers
ip,45.66.230.215,Cobalt Strike C2 servers
ip,45.66.230.216,Cobalt Strike C2 servers
ip,45.66.230.237,C2 server
ip,45.66.230.238,C2 server
ip,45.81.39.175,Cobalt Strike C2 servers
ip,45.81.39.177,Cobalt Strike C2 servers
sha256,4a4d20d107ee8e23ce1ebe387854a4bfe766fc99f359ed18b71d3e01cb158f4a,WinSCP-5.21.8-Setup.iso -- Trojanized installer
sha256,4fb70092d8533088742ca23788f29e0802b223eada1748ce82731162d25920c7,python310.dll (NitrogenStager)
sha256,503156f1b27d4dd463048f85924a2bbbeb3d0e09de2574395a51f77b48e9639d,ISO installers
sha256,535aefaba2eb8d7898b176b0dcdd23fcef984994e609db222c33ece2d1c081b3,python310.dll (NitrogenStager)
