Indicator,Data,Notes,,,,,
description,Indicators from defemding forward investigations  documented in Pacific Rim Report,: https://news.sophos.com/en-us/2024/10/31/pacific-rim-timeline/,,,,,
filename,hijack-x86,File present in /tmp directory,,,,,
filename,rt0510-x86,File present in /tmp directory   (MITRE ATT&CK Tactic:  Command and Control),,,,,
tool,Suterusu,Open source LKM Linux rootkit  (MITRE ATT&CK Tactic: Defense Evasion),,,,,
ip_port,59.188.69.231:4438,Connections observed via UDP from rt0510-x86 binary  (MITRE ATT&CK Tactic: Command and Control),,,,,
ip_port,59.188.69.231:4439,Connections observed via UDP from rt0510-x86 binary  (MITRE ATT&CK Tactic: Command and Control),,,,,
asn,AS 17444 (HKBN Enterprise Solutions Limited),59.188.69.231  (MITRE ATT&CK Tactic: Command and Control),,,,,
filename,libxselinux.so,Detected as Linux/Winnti-T  (MITRE ATT&CK Tactic: Defense Evasion),,,,,
sha1,62b690d29808f701b7e30291734a66d78c9cff39,libxselinux.so  (MITRE ATT&CK Tactic: Defense Evasion),,,,,
