"Indicator_type","Data","Note",
"Description","https://news.sophos.com/en-us/2023/02/28/sour-grapes-stomping-on-a-cambodia-based-pig-butchering-scam/",,
"domain","ace-eth.com","Cloudflare-hosted fake defi site",
"domain","ace-eth.io","Cloudflare-hosted fake defi site",
"domain","ace-eth.net","Cloudflare-hosted fake defi site",
"domain","acerc.me","Fake Android app / website web JSON backend",
"domain","aceth.me","Cloudflare-hosted fake defi site",
"domain","acexh.cc","Fake Android app / website web JSON backend",
"domain","ad.gemin-otc.icu","Fake app download site",
"domain","app.acesdn.club","Fake app download site (Amazon hosted) (no longer active_",
"domain","app.asproexdn.club","Fake app download site (Amazon hosted)",
"domain","app.bakktdn.bar","Fake app download site (Amazon hosted)",
"domain","app.bfiyerdn.vip","Fake app download site (Amazon hosted)",
"domain","app.bikazdn.bar","Fake app download site (Amazon hosted)",
"domain","app.bikidn.club","Fake app download site (Ucloud Informatiomn technology HK hosted)",
"domain","app.bitopdn.vip","Fake app download site (Amazon hosted)",
"domain","app.bittrading.vip","Fake app download site",
"domain","app.btccdn.vip","Fake app download site",
"domain","app.bwdn.club","Fake app download site (Amazon hosted)",
"domain","app.bydn171.club","Fake app download site (Amazon hosted)",":""l"
"domain","app.bydn172.club","Fake app download site (Amazon hosted)",
"domain","app.bydn173.club","Fake app download site (Amazon hosted)",
"domain","app.bydn175.club","Fake app download site (Amazon hosted)",
"domain","app.bydn176.club","Fake app download site (Amazon hosted)",
"domain","app.bydn177.club","Fake app download site (Amazon hosted)",
"domain","app.bydn178.club","Fake app download site (Amazon hosted)",
"domain","app.bydn180.club","Fake app download site (Amazon hosted)",
"domain","app.bydn182.club","Fake app download site (Amazon hosted)",
"domain","app.bydn183.club","Fake app download site (Amazon hosted)",
"domain","app.bydn185.club","Fake app download site (Amazon hosted)",
"domain","app.bydn187.club","Fake app download site (Amazon hosted)",
"domain","app.bydn188.club","Fake app download site (Amazon hosted)",
"domain","app.bydn189.club","Fake app download site (Amazon hosted)",
"domain","app.bydn190.club","Fake app download site (Amazon hosted)",
"domain","app.bydn191.club","Fake app download site (Amazon hosted)",
"domain","app.bydn192.club","Fake app download site (Amazon hosted)",
"domain","app.bydn195.club","Fake app download site (Amazon hosted)",
"domain","app.bydn197.club","Fake app download site (Amazon hosted)",
"domain","app.bydn199.club","Fake app download site (Amazon hosted)",
"domain","app.bydn200.club","Fake app download site (Amazon hosted)",
"domain","app.bydn201.club","Fake app download site (Amazon hosted)",
