Indicator_type,Data,Note
Description,Indicators related to malspam campaign targeting hotels in autumn 2023,https://news.sophos.com/en-us/2023/12/19/inhospitality-malspam-campaign-targets-hotel-industry
certificate_serial,,Code signing certificate serial number used to sign the binary
certificate_serial,02 F0 38 12 5D ED 80 34 87 02 59 90 76 A4 26 77,Code signing certificate serial number used to sign the binary
certificate_serial,4A 62 90 4F F4 E4 73 A7 49 B2 D5 52 B1 00 07 41,Code signing certificate serial number used to sign the binary
certificate_serial,46 79 7C 91 05 E4 F2 C6 66 FA D1 37 4B 65 A5 B4,Code signing certificate serial number used to sign the binary
certificate_serial,00 89 07 F5 1B 60 C3 EA F3 80 F3 54 29 3C 61 B0 C4,Code signing certificate serial number used to sign the binary
certificate_serial,06 C3 E3 0F 10 1B 62 FE 0A 49 9E B1 18 90 12 EA,Code signing certificate serial number used to sign the binary
certificate_serial,0B 49 4D 7D F0 20 97 10 7B 90 65 02 51 33 FE 92,Code signing certificate serial number used to sign the binary
certificate_serial,2A E8 06 75 B7 45 87 6B E6 9E 15 73,Code signing certificate serial number used to sign the binary
certificate_serial,09 39 33 39 69 D6 7B 7C ED F8 A3 CA 09 28 B1 D1,Code signing certificate serial number used to sign the binary
ip_port,212.113.116.63:47534,C2 and port
ip,212.113.116.63,C2
ip_port,78.47.104.201:25565,C2 and port
ip,78.47.104.201,C2 
sha256,d352593cee4b9865d9d6c9ad3c0bea532c611a08f9d2bd7242b51c3fe2f78ba2,archive containing binary named videofile-hotel2023-confirmation.mp4.exe
sha256,5fc3c806e9c5a93c9ada6ea6878fbee6c7302fb76b72277448bcc8189449f190,archive containing binary named Hotel video.exe
sha256,d9a0deb3ec21d717c231d66ed50aef1a40e204497290f218910d899811671962,archive containing binary named Photo_24.10.scr
sha256,b4ea2d41355ddeb4d7b7b532bd1f78f813041f3cb96b7b1f5e4f4f4750d7497a,archive containing binary named Wishes for our journey December 2023.scr
sha256,7a46f40175a7d0d12f2010a6511e9faca529484a3a037a44aea78c0a7f53595e,archive containing binary named photo or video.exe
sha256,cf10fb3d0d5f9dc2c19c82da38e37caa0562bf536020064c9904873c95b2486f,archive containing binary named Additional information for Hotel.scr
sha256,e6359187be67dd196e1553a795ddcf786e518b8c11d7b8cbf4124ca4f8a35c23,archive containing binary named Reference.Hotel.scr
sha256,5b1defbaa364276487f54002e512a7c60a65c7ae0254a3933bd848b2eb52a006,archive containing binary named photo_30_11.scr
