Indicator_type,data,note
Information,Indicators of compromise from https://news.sophos.com/en-us/2021/09/01/fake-pirated-software-sites-serve-up-malware-droppers-as-a-service/,
domain,centomor.xyz,malvertising tracker site and domain name service
domain,crackfury.com,malware delivery website posing as cracked software repository
domain,cracknew.com,malware delivery website posing as cracked software repository
domain,cyberspc.com,malware delivery website posing as cracked software repository
domain,deferor2z.xyz,malvertising tracker site
domain,dolihost.xyz,malvertising tracker site
domain,earth00.xyz,malvertising tracker site
domain,eroxyhost.xyz,malvertising tracker site
domain,excrack.com,malware delivery website posing as cracked software repository
domain,fiveyear3.club,malvertising link script site
domain,forendde76gn.shop,malvertising tracker site
domain,freewarefiles.xyz,malvertising link script site
domain,frommost8z.xyz,malvertising tracker site
domain,fulproductkey.com,malware delivery website posing as cracked software repository
domain,between3z.xyz,malvertising tracker site
domain,ican3e.club,malvertising tracker site
domain,imy4host.xyz,malvertising tracker site
domain,infringem2ent.xyz,malvertising tracker site
domain,interacti3ve.xyz,malvertising tracker site
domain,introductioel.xyz,malvertising tracker site
domain,iswhy3z.xyz,malvertising tracker site
domain,King-host.xyx,malvertising tracker site
domain,ksergyale.xyz,malvertising tracker site
domain,lectroniccomb.xyz,malvertising tracker site
domain,letcracks.com,malware delivery website posing as cracked software repository
domain,linkforge.xyz,malvertising tracker site
domain,lp2soza865.xyz,malvertising network tracker component
domain,microcodez.xyz,malvertising tracker site
domain,msitsbehe.xyz,malvertising tracker site
domain,mybravo.xyz,malvertising tracker site
domain,newactivators.com,malware delivery website posing as cracked software repository
domain,pccrackbox.com,malware delivery website posing as cracked software repository
domain,pclicensekeys.com,malware delivery website posing as cracked software repository
domain,pcwarezbox.com,malware delivery website posing as cracked software repository
domain,perpetua9ted.xyz,malvertising tracker site
domain,portabledownloads.com,malware delivery website posing as cracked software repository
domain,procrackerz.org,malware delivery website posing as cracked software repository
domain,"pronegsgaz,xyz",malvertising tracker site
domain,Qure-host.xyz,malvertising tracker site
domain,removed8.xyz,malvertising tracker site
domain,rereferrme.xyz,malvertising tracker site
domain,ridzfilez.xyz,malvertising tracker site
domain,servewfr.xyz,malvertising tracker site
domain,shrinkearn.com,malvertising tracker site
domain,sincethe9s.xyz,malvertising tracker site
domain,sometimez.xyz,malvertising tracker site
domain,tersareu.xyz,malvertising tracker site
