Indicator_type,Data,Note
Description,IoCs related to CVE-2021-40444 malware with UKR-related titles,https://twitter.com/SophosLabs/status/1526881339705892864
sha256,03b17f7da2f6d2dc89481e44230b0864e6f0224de8005f6f5295ca775898c6e2,script content of a9579f3c05096567c67ea737a411e1a553899ba10257101bbdf31f5fbcb3c73d
sha256,0b25fa084c01fc946d0ef437dd5eab00c4a392ce9d5bb4b29c819faad96297e4,The Ukraine Crisis and Control of Weapons of Mass Destruction.docx
sha256,0f64c351d2d933b348610ed7949ad8b52d4ead40595c72c56692ed7f7231c08c,Full Translation Ukrainian President Volodymyr Zelenskyy’s.docx
sha256,0fd11276fea2b3a855a3c836155dda8dc77c75447f9060616ff221b45307ebad,Putin Faces Claims of Chemical Weapons in Mariupol.docx
sha256,127d50dea36f28e239031e8837aa0924727742599203df88fdc49e8a67f9cc4b,script content of 4bc18b044325b71f2eb66352115a6c1210addb8f9059a97e67c4a548194cc48f
sha256,13f57741618ffea33ddacf0803b532e675be60a259ef0e2de88b56914f2242c6,The Kremlin’s Allegations of Chemical and Biological Weapons Laboratories in Ukraine.docx
sha256,15b7444f7f381fa76d9e9d7e2bf27e75a33fb34656c5818ed4925d0ead9435ce,Putin Faces Claims of Chemical Weapons in Mariupol.docx
sha256,19ce6b0cff58c6c40fe862c7e46a9a8d556c574cae7e7f549d67c952c984fb94,script content of a7adb4c9e8aa728bf2a6921f3c057f0d51ad98d18fc758897a08d4641971a464
sha256,20349b930640cba6bc0a34f3476f583e34a8cc18ca32942af21aee2cd51a8028,Full Translation Ukrainian President Volodymyr Zelenskyy’s.docx
sha256,2fe92e17da815252204aeeb52d0c8bf4d0c6e2b9e9d344c7dca57d09cb9e0a1a,script content of 960b7d5de23035a52f6dcd6cc50a0d5443bc90f99d0e87f8ed74c117523b425b
sha256,3a1cbae53062cc6f0493c9393b3d32511ccc29134accf52352a07261a7f6e75d,script content of 3d54a062be0bfba9fa5d4fb73c399f9e807429794ccdb48acee5884cc4f38a1e
sha256,3d54a062be0bfba9fa5d4fb73c399f9e807429794ccdb48acee5884cc4f38a1e,The Kremlin’s Allegations of Chemical and Biological Weapons Laboratories in Ukraine.docx
sha256,4b8e2d332a4046ebe1715ccb7be12a8c6c61223d6ee0be0795f5cc079408216f,The Ukraine Crisis and Control of Weapons of Mass Destruction.docx
sha256,4bc18b044325b71f2eb66352115a6c1210addb8f9059a97e67c4a548194cc48f,Leaked Kremlin emails show Minsk protocol designed as path to Ukraine's capitulation.docx
sha256,5343092356d5383089dfb867806ed3b153595d763b16911b3d2b1f6ef792fb90,script content of 13f57741618ffea33ddacf0803b532e675be60a259ef0e2de88b56914f2242c6
sha256,5368a4244f630c817b539d1eddf1fa12a4cbd5a5451944fa25f4e98a7a216813,script content of c1039e8b81de0c0361f7e39d081bfd284444d795964f3848867c68bb39f0f661
sha256,55f2000d71028725996d7edc2c847e103e3bbb8eea3da9220e396e2199d2d2c4,Nato's generals who were hiding in the underground bunker of the Azovstal steel factory just surrendered.docx
sha256,596f4bc37f5e7c92fe58bb7f3dd34e1ef097698ec3ca055feb305f58b51fa2ba,Leaked Kremlin emails show Minsk protocol designed as path to Ukraine's capitulation.docx
sha256,5f2911ca398bf7de3b33daadb538ae78fa9a1152aae0ad31b3a732bad1536352,script content of dca2973edf3824ce8e11bace3bad6269090116331bba248a11b687fe067fdd2c
sha256,61b6aef2908ae4aafdf36561632d44c2cc3dca1f8bfe2b718763290560aa47ef,script content of ebf2f974165f1d519940ff53520e40995c014a6df36df2de858dd35ac83d6f63
sha256,649a285f6ce586bc7b79b3e17a783d23860ad239ea6db9424484109aa57d8c96,script content of e1ecf69ec4c4439cef1bce2cf5c1d930818d4aee0638cb97ff65c42dc11d40f9
sha256,6ffe95f39a051c3c1c8e7f23ba5f6e66e0bba1c7647a8034bb0479aaea91b8b9,script content of e5931cc07c82301d0ebb2ed5c8885d67765a7a579835e2a8e252217ed1f8fb80
sha256,78d608b3a2cd047c006040c196b370c532c417d9016c48c39e49510dc797d094,script content of 0f64c351d2d933b348610ed7949ad8b52d4ead40595c72c56692ed7f7231c08c
sha256,79df36251af7a6532af2ed4f16a05dade8e13bdbb3b075c65f75d132d1225be4,The US Violation of the Chemical Weapons Convention.docx
sha256,7c578f6c7e861ca7376b7f10a5edc37adb54df5b7fac84aadad8ddf0e294b10a,script content of 0fd11276fea2b3a855a3c836155dda8dc77c75447f9060616ff221b45307ebad
sha256,89d500e25d6341a6659d3a3128dac085674a2dc7a22c6db76a8d6c5c5fcd5cea,script content of 4b8e2d332a4046ebe1715ccb7be12a8c6c61223d6ee0be0795f5cc079408216f
sha256,8f9fbaae021664c186935d3abd76b01a00e9c030ed7eaf82d7ab4f0074cab4de,script content of 55f2000d71028725996d7edc2c847e103e3bbb8eea3da9220e396e2199d2d2c4
sha256,9089969f8887ee1ba825efa56b673597eb90cdba7456534c774136bee07aa756,script content of f5e08119e74ca6115f6f9f85aa4877c306c7a2e11f635f8c733c6031902d70e7
sha256,960b7d5de23035a52f6dcd6cc50a0d5443bc90f99d0e87f8ed74c117523b425b,Chemical weapons use from Syrian war stokes Ukraine's fears.docx
sha256,9f79518888dc4ecda7d550844a0be0a6d165f487638626e7dd2c59844eb233d4,script content of 0b25fa084c01fc946d0ef437dd5eab00c4a392ce9d5bb4b29c819faad96297e4
sha256,a36cfbde2fdfd5241d9beee6bc7cda31260071939ba097822c6c1809765288bf,script content of 596f4bc37f5e7c92fe58bb7f3dd34e1ef097698ec3ca055feb305f58b51fa2ba
sha256,a7adb4c9e8aa728bf2a6921f3c057f0d51ad98d18fc758897a08d4641971a464,Full Translation Ukrainian President Volodymyr Zelenskyy’s.docx
sha256,a9579f3c05096567c67ea737a411e1a553899ba10257101bbdf31f5fbcb3c73d,U.S. providing Ukraine with supplies in case Russia deploys chemical weapons.docx
sha256,c1039e8b81de0c0361f7e39d081bfd284444d795964f3848867c68bb39f0f661,Putin Faces Claims of Chemical Weapons in Mariupol.docx
sha256,c91c95f8325b91aee29f28cb70f4e9e249561d8aa79a8470085c43d92a6bffbe,U.S. providing Ukraine with supplies in case Russia deploys chemical weapons.docx
sha256,ce5dcf76b74988af1accf451ab5a25c41ba6237d2bc02536857a0522f475c699,script content of c91c95f8325b91aee29f28cb70f4e9e249561d8aa79a8470085c43d92a6bffbe
sha256,d574fa861ff8f4d0c66b5b26079d4042ccba1b8fab3c0a9d3dbb9cb411771db7,script content of 20349b930640cba6bc0a34f3476f583e34a8cc18ca32942af21aee2cd51a8028
sha256,dca2973edf3824ce8e11bace3bad6269090116331bba248a11b687fe067fdd2c,The Ukraine Crisis and Control of Weapons of Mass Destruction.docx
sha256,e1ecf69ec4c4439cef1bce2cf5c1d930818d4aee0638cb97ff65c42dc11d40f9,U.S. providing Ukraine with supplies in case Russia deploys chemical weapons.docx
sha256,e5931cc07c82301d0ebb2ed5c8885d67765a7a579835e2a8e252217ed1f8fb80,Leaked Kremlin emails show Minsk protocol designed as path to Ukraine's capitulation.docx
sha256,e6fd1166a3385a9cd5ba0b9e0811fbf193c82394ceaa03be7bd0284c05ffd52f,script content of 15b7444f7f381fa76d9e9d7e2bf27e75a33fb34656c5818ed4925d0ead9435ce
sha256,ebf2f974165f1d519940ff53520e40995c014a6df36df2de858dd35ac83d6f63,list of nato generals hiding in the basement of the Azovstal steel plant.docx
sha256,f5e08119e74ca6115f6f9f85aa4877c306c7a2e11f635f8c733c6031902d70e7,The Kremlin’s Allegations of Chemical and Biological Weapons Laboratories in Ukraine.docx
domain,sunvn.net,
domain,sunvn.vin,
domain,taisunwin.club,
domain,b29.bet,
domain,choigo88.us,
domain,playgo88.fun,
url,hoccu.vn/components/gMXyb7,payload
ip_port,149.56.131.28:8080,C2
ip_port,138.197.147.101,C2
