Indicator_type,Data,Note,,,,,,
Description,IOCs from https://news.sophos.com/en-us/2021/05/05/intervention-halts-a-proxylogon-enabled-attack/,,,,,,,
sha256,7d52bcd5845ef1d6c16717a299b5695bfb82b4d32c9cf259f5bff58f239df783,regthrgrwfgterw_Shady_AMSIBypassMaybe,,,,,,
sha256,0a511648b1eb00f3eee4edaaa1fca683bbfc2fbb24923f334ba82485fd890f1b,Module_RunPsExecMaybe.ps1,,,,,,
sha256,b61650ba0aa7497982a0bc189b3301f1f50a4a56094cce860dc05b52e96dce52,Module_ADRecon,,,,,,
sha256,d7d6303b917b7dd69c3f16f01b3f23cfca44493531563dade8fa0f8bf863fce2,Module_RunByWMI.ps1,,,,,,
url,https://bestsecure2020.com/gate,Module_RunByWMI.ps1 C2,,,,,,
domain,bestsecure2020.com,Module_RunByWMI.ps1 C2,,,,,,
sha256,6cb905dbfc2ab85f50eefa4e407246bf3733f06af94c4bf553fba85032a2f7e2,Module_GetAllServers.ps1,,,,,,
sha256,226462c9f639e220f84401dcf6a535089cbe29df7a6502acab16da78134f3e8d,Module_GetDomainControllers.ps1,,,,,,
sha256,2b5351d65ad6ed6df4ab8b6a0914bb9d0a686623b65db60be006371b255b1ced,Module_EnumerateAdmins.ps1,,,,,,
sha256,e5cb6de8fd9be101a7e76e5345e1d7598756d997ff5cbfd96710d2027d79f75a,Module_Mod-EnumerateHyperV.ps1,,,,,,
sha256,d208409abd2113e1888f6beeb436edc3336540148a341a12ac74ceecc626355d,"""bullet"" file",,,,,,
url,https://astara20.com/jquery-3.3.1.min.js,,,,,,,
domain,astara20.com,,,,,,,
sha256,454afe23c5e0c3d535e5f0794e838ca98fb23a55181a657aa1004df814ea1ddc,"AMSI bypass script, 64-bit version",,,,,,
sha256,19b0a642622fbf87b385200441bdda250cf0278063525ed6e35ba7210a75af2d,older powershell backdoor,,,,,,
domain,estetictrance.com,,,,,,,
url,https://estetictrance.com/gate,,,,,,,
sha256,da8df0a03ece4e0920b4afc5a7cbcf23c931b6695393887600b39b555336f2ff,older powershell backdoor,,,,,,
domain,againcome.com,,,,,,,
url,https://againcome.com/gate,,,,,,,
sha256,0e542de95da762d0d59c731ded5065ca0390eecde5c6972b5a58c52cae7f7c8d,older powershell backdoor,,,,,,
domain,diametermes.com,,,,,,,
url,https://diametermes.com/gate,,,,,,,
sha256,76d1a3079b3ef08c5fbf4476f6479ddba0a5e20fd712e5b6acadafae6f817696,older powershell backdoor,,,,,,
domain,diametermes.com,,,,,,,
url,https://diametermes.com/gate,,,,,,,
sha256,e496c41793b4eef1990398acd18deb25dd7e8f63148e3b432ff726d3dc5e1057,Cobalt Strike beacon 1b43dgyh.tzx,,,,,,
certificate_serial,00e4e795fd1fd25595b869ce22aa7dc49f,OASIS COURT LIMITED,,,,,,
sha256,ae013d2935b9520c834b39e24e0123421edf9c518665f199480ecc2a78d9a8d3,Cobalt Strike beacon ofkr2bgr.tky,,,,,,
certificate_serial,00e4e795fd1fd25595b869ce22aa7dc49f,OASIS COURT LIMITED,,,,,,
sha256,b5242d61a1a04f86e7e6f3f9724796497c3391bf7adde9a171f61b02084e5bdd,Cobalt Strike beacon phtkkakn.4u0,,,,,,
certificate_serial,00e4e795fd1fd25595b869ce22aa7dc49f,OASIS COURT LIMITED,,,,,,
sha256,91b4bc7ec03f217571b21c1cce333c2489e9aee597c3bb54a6c86738e9e7067d,cobalt.ps1,,,,,,
certificate_serial,00e4e795fd1fd25595b869ce22aa7dc49f,OASIS COURT LIMITED,,,,,,
sha256,ceacbccd98ab0f681e153f61869b6845b82ba0c730f007f73cc8a3af82ec78f8,"Chisel ""sophos.exe""",,,,,,
sha256,0e715e38bb978cd745eac2d6ec1a083b3650452b36b6982c36559bb90a9218d3,"Chisel ""RCSLVWSUS_lms.exe""",,,,,,
sha256,a8592747024715d3b0effdac95345bc8956e09823ff429887f4f9c56085515fa,bot.ps1,,,,,,
sha256,850edeafd3924538ec806649ad6eeec66fd92916dbd4693bfa91c582c62299a5,igyigkhl.2uv.ps1,,,,,,
sha256,92974d6b2fbe99876731bee124d7138b062ead6fab68dd2e5ddff8c52946f3ca,Mybot.ps1,,,,,,
sha256,a8592747024715d3b0effdac95345bc8956e09823ff429887f4f9c56085515fa,vap05_bot.ps1,,,,,,
sha256,4055c612a157016cb00025c9b024d052df4b6790108bb25dee2e7c78569ab102,MK64.dll,,,,,,
sha256,136c32246b28a64cb22c5cdc6c33085886a4a59cf47344e9593793275bb8e849,C:\Windows\system32\lms.exe,,,,,,
sha256,d4d3ef9196b5dac53d1e06d738eb3e529578752bf9e8cfd2900a600d5f10a7e5,host7.0.0.1.exe,,,,,,
