Indicator_type,Data,Note
Description,IoCs of SolarMarker / Polazert campaigns,https://news.sophos.com/en-us/2022/02/01/solarmarker-campaign-used-novel-registry-changes-to-establish-persistence/
url,http://5.254.118.226,Polazert C2
url,http://23.29.115.175,Polazert C2
url,http://37.120.237.251,Polazert C2
url,http://37.221.114.23,Polazert C2
url,http://45.42.201.248,Polazert C2
url,http://45.146.165.221,Polazert C2
url,http://46.102.152.102,Polazert C2
url,http://69.46.15.151,Polazert C2
url,http://91.241.19.110,Polazert C2
url,http://92.204.160.110,Polazert C2
url,http://92.204.160.233,Polazert C2
url,http://104.223.123.7,Polazert C2
url,http://146.70.24.173,Polazert C2
url,http://146.70.41.157,Polazert C2
url,http://149.255.35.179,Polazert C2
url,http://167.88.15.115,Polazert C2
url,http://185.244.213.64,Polazert C2
url,http://188.241.83.61,Polazert C2
url,http://192.121.87.53,Polazert C2
url,http://216.230.232.134 ,Polazert C2
sha256,0abe73a746671028db3ef2ba3ea8bea059888fc177d76a11e34cd1f075b24b69,MSI Polazert installer
sha256,10221ceffbc7d7e59b17b1968d0fa01c8124efa70d1d5a486e53211e4754a22d,MSI Polazert installer
sha256,1e7914f799371cbc8560bc52203d3531bb20cb4f6092158c76a4842dbf85dabc,MSI Polazert installer
sha256,1ed9469724b3ba2891dc0efee29b1de93054601cb44aaf433c2b5860884dfa71,MSI Polazert installer
sha256,3303926a6468dab25286a65bb9f3e5883a8938e6501031b3b85e21f182d1ed0d,MSI Polazert installer
sha256,341881d11fd748a81c8cee584dc42392a564aeb839faf7afa136004701e656c1,MSI Polazert installer
sha256,619678ea113d164106f22ce5a9145d2cc87ef730461015dcd5a4343d05420a55,MSI Polazert installer
sha256,7f3cfd60860c47fc730643f58fcd10a8c9361c3a8de0fd162ea2751e4c514271,MSI Polazert installer
sha256,a8b1ff391ff0937a12b63d34b6a8326bf5058e0a2ac9ae5306ed8d708f1e6e44,MSI Polazert installer
sha256,b1620fbd2194bc09812c01134b7f60292cfbabd26f1360ecb04c1f66cb2dd4f5,MSI Polazert installer
sha256,bcd68226d7c5b7e234d60df6ba96210eeef0a0a281cdbc0d277b055ad7b90c03,MSI Polazert installer
sha256,c61348ab7e5ffeb9ba5d1077b13c49bde4d841c5ada9a119f8234af89421f783,MSI Polazert installer
sha256,7e45a7eefd4d0f6689b3e70f4d820a21dcd7a371761d8615d28674da1c2d27c4,Polazert installer
sha256,21bb04d88d56e31af4b8c233a13de6f89f5b33568257c6b26701f7e1d37e32a7,Polazert installer
sha1,6843d170fe0f64ddff556a6f69180da74be8ca0,Polazert backdoor
sha1,0cadb15859b7290556cccc09a8e49aad442464b8,Polazert backdoor
sha1,0fa6976362753f9e8251006f4a93a59b73e88af3,Polazert backdoor
sha1,12174706315fc9b6646f1d4de17e7ad1c3fff48c,Polazert backdoor
sha1,12a674c263cfa121d1fd6b81f60aac8f3c528d3c,Polazert backdoor
sha1,131832874af7f935fec3368dc4f0f6c9237aef71,Polazert backdoor
sha1,13ce7a6450f03672577738fc350776522bde95c2,Polazert backdoor
sha1,1c56bfc99a612c040a7642114f5a1a3c8c3b110d,Polazert backdoor
sha1,1ff103a2af23fcba392dba43b205402bea346ce6,Polazert backdoor
sha1,204138f14e58dd332f2e443667b9ac07fb74ce54,Polazert backdoor
sha1,228b4a55e40409d012c7e290785ba9349a0a31ed,Polazert backdoor
sha1,22bf026d0803216c21e6f14ae58bf993e6584881,Polazert backdoor
sha1,25c5135f5a22694ecd3c1c8c0a6fbc8b41fc6b6b,Polazert backdoor
sha1,2f8d10c33450360bfc82f890fc6e01c5bf8fbaec,Polazert backdoor
