Indicator_type,Data,Note
Description,IoCs related to Qakbot malware,https://news.sophos.com/en-us/2022/03/10/qakbot-injects-itself-into-the-middle-of-your-conversations/
sha256,f42670b63d8e4eca6f360ec2bbdd6c518b18ea91581e310f42f03cb482f85a23 ,Malicious Excel sheet
sha256,2c37b6b15f3f0299571ba9442666607e37487a17ac426ba1e89471460951bf19 ,"""eum.zip"" document"
sha256,ef570dbb5ece67d1988a230ded47cbaa8a3f517c3163c2e6ee2959dcfee01f60 ,stealer payload
sha256,7d1fd479bff1ddb041f227c28d641c93fa8b284bed1a725da7b06df2662aea56 ,DLL payload
sha256,4e274ff74367a174913969690379398fa78f6aececdb51bdbecfef72f443f0bc ,DLL payload
sha256,148d6a1191b07385551354a111e10f89e97af87604c9b7c916ae352bdd8c3df0,payload from jvtransportes.log.br/kBZqvr6C/3.gif
sha256,2a5069684e15123a8d3d3a305cb01399ad9880c96cbacb9e99c88e6fbaa6aa3e,payload from dimenew.com.br/zIYYH429XK/3.gif
sha256,bce784a4d247e61c3eb16ac557af41aac569dc6d160658df460fe48cbc2f4466,payload from sabitblog.com/7ihEMh6PKKX/3.gif
sha256,76b64698670bae111d9b68eedc25b02e85a82471da739e5ceedff0ce466c65f8,Qakbot core bot
sha256,784ca9fe97e58d553f2f974abb678c8e86c930aa25e5246382f9d9caaa6070c,Hook.dll payload
sha256,f7cdb959643a5f266fccff13534662ce4db388d922c65a2b7ab878b663cced99,Email collector payload
url,216.238.72.121/t4,C2 URLs observed
url,68.186.192.69/t4,C2 URLs observed
url,41.228.22.180/t4,C2 URLs observed
url,hartwoodcrafts.com/nulla-quia/eum.zip,Malicious Excel sheet download site
url,jvtransportes.log.br/kBZqvr6C/3.gif,Payload addresses
url,dimenew.com.br/zIYYH429XK/3.gif,Payload addresses
url,sabitblog.com/7ihEMh6PKKX/3.gif,Payload addresses
ip,216.238.72.121,C2 observed during infection
ip,41.228.22.180,C2 observed during infection
ip,68.186.192.69,C2 observed during infection
ip,194.40.243.33,C2 observed during infection
ip,45.63.107.192,C2 observed during infection
ip,216.238.71.31,C2 observed during infection
ip,23.160.193.217,C2 observed during infection
user_agent,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,User-Agent string used during infection
url,http://barro-proizvodstvo.by/pl/w3L/loj/MxR/zHLJOiF.zip,Zip containing malicious Excel spreadsheet
url,http://caaantik.com/pl/iVZ/BrU/XCj/nksYY1a.zip,Zip containing malicious Excel spreadsheet
url,http://caaantik.com/pl/K0MHD5I1Sb.zip,Zip containing malicious Excel spreadsheet
url,http://circleeducational.com/pl/p/8WxKLuhG3.zip,Zip containing malicious Excel spreadsheet
url,http://concejo-ladoradacaldas.gov.co/pl/m/PMT9slAUV.zip,Zip containing malicious Excel spreadsheet
url,http://dailyplay.net/pl/Bea/0OB/4Cf/9zSr6N3.zip,Zip containing malicious Excel spreadsheet
url,http://dailyplay.net/pl/wD91SAqJJ7.zip,Zip containing malicious Excel spreadsheet
url,http://dariwalaonlineshopping.com/pl/2O/rX/MlGxoXuW.zip,Zip containing malicious Excel spreadsheet
url,http://dariwalaonlineshopping.com/pl/46K/6hP/GNG/69dSHaF.zip,Zip containing malicious Excel spreadsheet
url,http://dariwalaonlineshopping.com/pl/6/GU98o3B9H.zip,Zip containing malicious Excel spreadsheet
url,http://dariwalaonlineshopping.com/pl/eT/U3/rz46q4z0.zip,Zip containing malicious Excel spreadsheet
url,http://dariwalaonlineshopping.com/pl/L/zFr0ugAme.zip,Zip containing malicious Excel spreadsheet
url,http://dariwalaonlineshopping.com/pl/Vf/8D/jOpiFZx2.zip,Zip containing malicious Excel spreadsheet
url,http://dariwalaonlineshopping.com/pl/ysBtcSQR0Q.zip,Zip containing malicious Excel spreadsheet
url,http://devbhumiexpress.com/nb/7s6/gA9/V6j/XRODB8r.zip,Zip containing malicious Excel spreadsheet
url,http://devbhumiexpress.com/nb/mvI/u4c/1Rw/Y4IkJDj.zip,Zip containing malicious Excel spreadsheet
url,http://dmklaws.co.ke/pl/v/E2Sy5shEX.zip,Zip containing malicious Excel spreadsheet
url,http://dmklaws.co.ke/pl/yW4/cl7/4gB/hokiJac.zip,Zip containing malicious Excel spreadsheet
url,http://ecuadorendirecto.com/nb/HY/Td/8XbfyBBb.zip,Zip containing malicious Excel spreadsheet
url,http://fitfoodbd.com/pl/5rw/iXZ/hAV/rTYG3K2.zip,Zip containing malicious Excel spreadsheet
url,http://fitfoodbd.com/pl/hKNXM6DLEW.zip,Zip containing malicious Excel spreadsheet
url,http://fitfoodbd.com/pl/Z/ntK2O2u5h.zip,Zip containing malicious Excel spreadsheet
url,http://globalprod.ru/pl/gGN/9va/OqG/dQn9w6o.zip,Zip containing malicious Excel spreadsheet
url,http://globalprod.ru/pl/gJw/oC1/5YZ/m6C2N4d.zip,Zip containing malicious Excel spreadsheet
url,http://globalprod.ru/pl/iJo/bzX/Q7S/7acFgnR.zip,Zip containing malicious Excel spreadsheet
url,http://globalprod.ru/pl/KK9Dqgcm5o.zip,Zip containing malicious Excel spreadsheet
url,http://globalprod.ru/pl/R/rjeXuBjhJ.zip,Zip containing malicious Excel spreadsheet
url,http://globalprod.ru/pl/Yt/L6/dNxKJm0k.zip,Zip containing malicious Excel spreadsheet
url,http://gofourbusiness.com/pl/CofakqyCzE.zip,Zip containing malicious Excel spreadsheet
url,http://gofourbusiness.com/pl/fTf1fAti9f.zip,Zip containing malicious Excel spreadsheet
url,http://gofourbusiness.com/pl/g6d/dJ9/h4H/ZF6Ni0f.zip,Zip containing malicious Excel spreadsheet
url,http://gravitygroup.org/pl/ddl/fHg/GPW/KkvfCKe.zip,Zip containing malicious Excel spreadsheet
url,http://gravitygroup.org/pl/E8m/yuK/B7G/d7Jexjp.zip,Zip containing malicious Excel spreadsheet
url,http://gravitygroup.org/pl/TZ/xm/0BjfwA98.zip,Zip containing malicious Excel spreadsheet
url,http://gravitygroup.org/pl/X/nyk9uA6oz.zip,Zip containing malicious Excel spreadsheet
url,http://hapohealthcare.co.ke/pl/1bF/CeY/QIx/4dxScNE.zip,Zip containing malicious Excel spreadsheet
url,http://hapohealthcare.co.ke/pl/E/tXW5GyqRA.zip,Zip containing malicious Excel spreadsheet
url,http://hapohealthcare.co.ke/pl/gfoSBiLYKQ.zip,Zip containing malicious Excel spreadsheet
url,http://hapohealthcare.co.ke/pl/icRNrIkfEE.zip,Zip containing malicious Excel spreadsheet
url,http://hapohealthcare.co.ke/pl/L/jG1l1oTi4.zip,Zip containing malicious Excel spreadsheet
url,http://hapohealthcare.co.ke/pl/xqH/Xk8/MZA/ZPSwn0G.zip,Zip containing malicious Excel spreadsheet
url,http://hapohealthcare.co.ke/pl/Z/vIUNeF2an.zip,Zip containing malicious Excel spreadsheet
url,http://ikincielplotter.com/pl/mww/56d/znq/MySqkg9.zip,Zip containing malicious Excel spreadsheet
url,http://ikincielplotter.com/pl/O/4WaCYplJb.zip,Zip containing malicious Excel spreadsheet
url,http://ikincielplotter.com/pl/V/ealQLReKr.zip,Zip containing malicious Excel spreadsheet
url,http://inzain.org/pl/mIP/QtS/bis/Kygd1QY.zip,Zip containing malicious Excel spreadsheet
url,http://inzain.org/pl/o/EAar8iZjU.zip,Zip containing malicious Excel spreadsheet
url,http://inzain.org/pl/O9urLZRXgc.zip,Zip containing malicious Excel spreadsheet
url,http://klinikpratamayemimamedika.com/pl/Xo/zN/rJBwi2Yv.zip,Zip containing malicious Excel spreadsheet
url,http://laserjet.ro/pl/8/DbEDhe5P9.zip,Zip containing malicious Excel spreadsheet
url,http://librelato.com/pl/m0/EQ/uLbpkCZa.zip,Zip containing malicious Excel spreadsheet
url,http://maisconsultoria.com.br/pl/3a/qc/MWmaciUo.zip,Zip containing malicious Excel spreadsheet
url,http://maisconsultoria.com.br/pl/Tj/dl/iSvJHaXl.zip,Zip containing malicious Excel spreadsheet
url,http://maisconsultoria.com.br/pl/tkkbvWJV66.zip,Zip containing malicious Excel spreadsheet
url,http://maisconsultoria.com.br/pl/v8/HU/lK2EItxa.zip,Zip containing malicious Excel spreadsheet
url,http://man1kabsemarang.sch.id/pl/dQ8kp2LLJI.zip,Zip containing malicious Excel spreadsheet
url,http://man1kabsemarang.sch.id/pl/K7/JC/bO1PrFAT.zip,Zip containing malicious Excel spreadsheet
url,http://man1kabsemarang.sch.id/pl/RCoFU50aSG.zip,Zip containing malicious Excel spreadsheet
url,http://obarrigas.com/pl/8/qY1l6BusI.zip,Zip containing malicious Excel spreadsheet
url,http://obarrigas.com/pl/hw/Rb/C2QLTZOe.zip,Zip containing malicious Excel spreadsheet
url,http://obarrigas.com/pl/W6o/c8L/Rns/GXYUMtW.zip,Zip containing malicious Excel spreadsheet
url,http://peles-group.com/pl/7wOS2uk1ef.zip,Zip containing malicious Excel spreadsheet
