Indicator_type,Data,Note
Description,https://news.sophos.com/en-us/2023/04/13/tax-firms-targeted-by-precision-malware-attacks,Indicators related to this research
ip,109.206.240.67,Malware payload source
ip,194.180.48.211,Malware payload source
ip,5.8.8.100,Malware payload source
ip,185.225.74.91,Remcos C2
ip,84.21.172.49,Remcos C2
ip_port,185.225.74.91:2080,Remcos C2
ip_port,84.21.172.49:1040,Remcos C2
sha256,1dc173bba60254b915f8fa88f2ee5730f8d9ba3919ffa7c7a3cc28c3728c43ec,Malicious shortcut
sha256,29201f916b42e013f24a8a0b2543c25ec04e119b4d0969ddd8aff696f84af7ee,Malicious shortcut
sha256,2f2892ce3885179c5ddd3ced5f8e3ae5f890ed0cef989f62a0285de136e31fa3,Malicious shortcut zip archive
sha256,562ec1673c90fd1932f60b0f4e26e02a059347b88aa2d8fc0bddd058427d6946,Malicious shortcut
sha256,5ac2a9e27896c467eb5363ab24c931a5b721c3a715590441a936eb49b06dfb3e,Malicious shortcut
sha256,9b137eda8682306f5f5fb22b375ba35c406c0c167bd1ce632165849148439890,Malicious shortcut
sha256,de78ba7cedda5de72f399a0bd7b597e880ebd517144bbeb2dd0a4e12d353d749,Malicious shortcut
sha256,fc06588222dd51a08f9359e5d6ce9ee8c2ae90ff700533bc47d2ab4ead0071e8,Malicious shortcut
url,109.206.240.67/xlog/Blotlg.vbs,20d129d8ad727dc816fac7ab3dc4d3d3f3666220822de0d722db763fa138a246
url,109.206.240.67/xlog/Blotlg1NOUSE.vbs,2082d90b180fdb036a6962f3fa11b00355148d9805498c877cb9e50719504197
url,109.206.240.67/xlog/Jubilets1.vbs,20d129d8ad727dc816fac7ab3dc4d3d3f3666220822de0d722db763fa138a246
url,109.206.240.67/xlog/Planskrer.vbs,f63c66e07e040e708df5cd1b1ef48cdea68b2671b3ca064b84b5c6f472c7aa45
url,194.180.48.211/camp/Pengehistorie.vbs,aa43adb550baa16035171f92597d499091e2c03501c518005ba720ec41df5a69
url,194.180.48.211/fresh/fordl.vbs,bf53353a99e6bdf0e54536a5ec3575dea72521067d51a167bf2f298dc86ade03
url,194.180.48.211/frog/a.vbs,3c712a8766a7631cb759dd675ab8ea4042ba999a5d5e42d70fa2d5a16081a3a1
url,194.180.48.211/frog/Cruel.vbs,262da5c16cbbf2f260a108f6ecbee001d4b9f9dae654f2ecdcd5430eefd9bff0
url,194.180.48.211/frog/Forjagene.vbs,f0c43fccef7aac3b05a3a41cba5e77169f986d1efab526b653c02aa0b4f0f942
url,194.180.48.211/nini/Leekish.vbs,c914dab00f2b1d63c50eb217eeb29bcd5fe20b4e61538b0d9d052ff1b746fd73
url,194.180.48.211/russ/Kionectomy.vbs,98bb3f8295ccac02a4e582b38a6903273ee50aff223707521982409b4c04e992
url,194.180.48.211/russ/Kionectomy1.vbs,6fd1085c9e5e041727cdd1a9b1135299590ad811ea075638256f2817d498d79d
url,194.180.48.211/russ/Pigelil.vbs,b5869cb9bd976620e9faa16645b66d6aa03e9223c2c5c26f68ebeb27e20c0abc
url,194.180.48.211/russ/Sammenstyrtningens242A.vbs,87dc4e513a7023f1b8d38499c6fede4e6ab7ec563e1f0dbbd5e9b365e213d145
url,194.180.48.211/russ/Sammenstyrtningens242R.vbs,926fe7f70c86b5c16a632344191820206772f8c53ac075446b138d209a1bf22a
url,194.180.48.211/russ/Stork.vbs,ee87e8e9b53378dcea4dd36cdaa9da7e0adaad34e25a2bfcff259b10fc4c7def
url,194.180.48.211/ryan/Kionectomy.vbs,98bb3f8295ccac02a4e582b38a6903273ee50aff223707521982409b4c04e992
url,194.180.48.211/ryan/Kionectomy1.vbs,6fd1085c9e5e041727cdd1a9b1135299590ad811ea075638256f2817d498d79d
url,194.180.48.211/ryan/Stork.vbs,ee87e8e9b53378dcea4dd36cdaa9da7e0adaad34e25a2bfcff259b10fc4c7def
url,194.180.48.211/sara/Vejlensisk90.vbs,ffe477577469c87c606e0cbd9d0da68446cd8d895e4f4ab0a083f0a05ac8ab20
url,194.180.48.211/zara/Bydeformerne.vbs,c696155091e3cc0099b483c9b7356bc9cb62f69ab9dc1cbad38e4cdd69a893a4
url,194.180.48.211/zara/Galgenhumors.vbs,3f8d5e1d534fa88a05f1c9368643466fdd9525385d05f90dd6f4431c6a932290
url,194.180.48.211/zara/Krankleje91.vbs,3f8d5e1d534fa88a05f1c9368643466fdd9525385d05f90dd6f4431c6a932290
url,194.180.48.211/zara/Run.vbs,036a1d5da899b6e3616bda59d6e5f5d1760d726e88a1373bbdca83f0d82451e6
url,194.180.48.211/zara/Vejlensisk90.vbs,ffe477577469c87c606e0cbd9d0da68446cd8d895e4f4ab0a083f0a05ac8ab20
url,194.180.48.211/zarath/Bydeformerne.vbs,c696155091e3cc0099b483c9b7356bc9cb62f69ab9dc1cbad38e4cdd69a893a4
url,194.180.48.211/zarath/Galgenhumors.vbs,3f8d5e1d534fa88a05f1c9368643466fdd9525385d05f90dd6f4431c6a932290
url,194.180.48.211/zarath/Run.vbs,036a1d5da899b6e3616bda59d6e5f5d1760d726e88a1373bbdca83f0d82451e6
url,5.8.8.100/signal/Pilhenv.vbs,34a689fc4ca1f0b001bee4b0640487e98fce0c67ec67cdf076d86efe9b10072f
url,5.8.8.100/signal/Sammenstyrtningens242A.vbs,87dc4e513a7023f1b8d38499c6fede4e6ab7ec563e1f0dbbd5e9b365e213d145
url,5.8.8.100/signal/Sammenstyrtningens242R.vbs,926fe7f70c86b5c16a632344191820206772f8c53ac075446b138d209a1bf22a
sha256,20d129d8ad727dc816fac7ab3dc4d3d3f3666220822de0d722db763fa138a246,109.206.240.67/xlog/Jubilets1.vbs
sha256,f63c66e07e040e708df5cd1b1ef48cdea68b2671b3ca064b84b5c6f472c7aa45,109.206.240.67/xlog/Planskrer.vbs
sha256,aa43adb550baa16035171f92597d499091e2c03501c518005ba720ec41df5a69,194.180.48.211/camp/Pengehistorie.vbs
sha256,bf53353a99e6bdf0e54536a5ec3575dea72521067d51a167bf2f298dc86ade03,194.180.48.211/fresh/fordl.vbs
sha256,3c712a8766a7631cb759dd675ab8ea4042ba999a5d5e42d70fa2d5a16081a3a1,194.180.48.211/frog/a.vbs
sha256,262da5c16cbbf2f260a108f6ecbee001d4b9f9dae654f2ecdcd5430eefd9bff0,194.180.48.211/frog/Cruel.vbs
sha256,f0c43fccef7aac3b05a3a41cba5e77169f986d1efab526b653c02aa0b4f0f942,194.180.48.211/frog/Forjagene.vbs
sha256,c914dab00f2b1d63c50eb217eeb29bcd5fe20b4e61538b0d9d052ff1b746fd73,194.180.48.211/nini/Leekish.vbs
sha256,98bb3f8295ccac02a4e582b38a6903273ee50aff223707521982409b4c04e992,194.180.48.211/russ/Kionectomy.vbs
sha256,6fd1085c9e5e041727cdd1a9b1135299590ad811ea075638256f2817d498d79d,194.180.48.211/russ/Kionectomy1.vbs
sha256,b5869cb9bd976620e9faa16645b66d6aa03e9223c2c5c26f68ebeb27e20c0abc,194.180.48.211/russ/Pigelil.vbs
sha256,87dc4e513a7023f1b8d38499c6fede4e6ab7ec563e1f0dbbd5e9b365e213d145,194.180.48.211/russ/Sammenstyrtningens242A.vbs
sha256,926fe7f70c86b5c16a632344191820206772f8c53ac075446b138d209a1bf22a,194.180.48.211/russ/Sammenstyrtningens242R.vbs
