Indicator_type,Data,Note
Description,https://news.sophos.com/en-us/2023/05/03/doubled-dll-sideloading-dragon-breath,"Indicators of ""Double Dragon Breath"" campaign active early 2023"
sha256,097899b3acb3599944305b064667e959c707e519aef3d98be1741bbc69d56a17,"TG_CN.exe, an installer package (v.1)"
sha256,34c4eda45c782e74a5f3b179961659b472c053b63eb48318a2441db2bcbbb1dc,"TG_CN.exe, an installer package (v.1)"
sha256,48a35466b1a08711abcdd2cd5564164265a4ee4e2082700f2eba69e1f3bf111a,"TG_CN.exe, an installer package (v.1)"
sha256,1c4ad390cf903e78571fe9c3dbc0f9ff63fda7cae449d81f743a6011e8287caf,"TG_CN.exe, an installer package (v.1)"
sha256,695e0312d6612201af4b3c6d4f50f67df8614cae69e35ce2a72e68d0c587de54,"TG_ZH.exe, an installer package (v.1)"
sha256,9c4f42124ff130e0ff61846b2cb3d1aa6d618d65b141e466613533a350bdf278,"TG_CN.exe, an installer package (v.1)"
sha256,bf19222b9eac87650db9206cee05c695b1df22499bcac310376734197ee5457c,"TG_CN.exe, an installer package (v.1)"
sha256,e414fc7bcd80a75d57ee4fdbb1c80a90a0993be8e8bbbe0decfc62870a2e1e86,"LetsVPN.exe, an installer package (v.1)"
sha256,530f01699688ab8c2bb25349a6bc398907b2adb5164d7602c28152c66851fa43,"httpswww.telegramos.orgdownload.html.exe, an installer package (v.1)"
sha256,04db8e4dfecfc300a86614a2393bb768861196b18f17845b5765d06e1ba692c4,"T_el_eg_ra_m0814.exe, an installer package (v.2)"
sha256,324bbcae91d4287e481ece09abe8d6d123b0c2f8ae0355c416924e4f8371661d,"T_el_eg_ra_m0814.exe, an installer package (v.2)"
sha256,484fdf350c4a10c8bf0c495abf696a09f0a25258d39e81884122cb75e4432191,"T_el_eg_ra_m.exe, an installer package (v.2)"
sha256,60f6fa45809c39ecdff4161d5925e6e8f491adedb7ed8ac67d772cd3c212b1cf,"Telegram.exe, an installer package (v.2)"
sha256,af04147945915737f3f2eed7df222c0b45d7b911bf82f6176df6856514e58c08,"T_el_eg_ra_m.exe, an installer package (v.2)"
sha256,bfb44fb2194e25eee516b431fd84892a6073735dbf510a70dfa3a344526ade97,"Telegram.exe, an installer package (v.2)"
sha256,cdb645ea97980e63b9c165ca842bad2751ce2728cc5c55329ba04e96bab3077b,"Telegram.exe, an installer package (v.2)"
sha256,fe8c97f1ca9aab32b0ff4d46559f22677b3dba3c6d73c8b5d2fe9dd07c8ec64a,"Telegram.exe, an installer package (v.2)"
sha256,0b85cc5a583e94ba793a88a5184c68658eb7543bcc41deb4cf6aa633c67e538a,"TG_CN.exe, an installer package (v.3)"
sha256,ad7ff3ffcf4276219830228de0c0454310710011f5274f3d2436a4b699af7030,"*TG_CN.ex, an installer package (v.3)"
sha256,c936f1598721a9a92d7f31c6c13b55013b8a2a344e3df4156e5b033006336544,"*Application.exe (XLGame.exe, signed by SHENZHEN THUNDER NETWORKING TECHNOLOGIES LTD), a first-stage clean loader"
sha256,31d2076066107bd04ab24ff7bbdf8271aa16dd1d04e70bd9cc492e9aa1e6c82b,"*libexpat.dll (signed clean DLL by ShenZhen Thunder Networking Technologies Ltd.), a first-stage clean loader"
sha256,769d59d03036af86c7a9950f03ebc7b693a94d3e2f8ecd1d74cf5600ab948105,"*XLGameUpdate.exe, a second-stage clean loader (v.1)"
sha256,03b1df2b08999262c772b67a7bd65e9e8f6058036b5e7a382f06d3aa672854d0,"*XLGameUpdate.exe, a second-stage clean loader (v.2)"
sha256,a8a09d4e1ddbe4de188100b285a53b53b10677e4fbc93014e07211cdaf532e7b,"*XLGameUpdate.exe, a second-stage clean loader (v.3)"
sha256,0ed0f8476f0c7d7cdbdfb8935c5c012463ce2cf1e00c8fbfc1ad202366539b38,"*BASICNETUTILS.dll, a malicious loader (v.1)"
sha256,49aca2efaca973d9dea2e01c2ac63cea7cd1e0cf12aa45d98653eea46b7593c9,"*BASICNETUTILS.dll, a malicious loader (v.1)"
sha256,4bf6b4544c8584fe933eec269568d8e3dc259110b36a9376d6956980fe43a37d,"*BASICNETUTILS.dll, a malicious loader (v.1)"
sha256,4c3899f2b7be819620b5eeb6f35643043141a2e51223d56a54840b1268a6893d,"*BASICNETUTILS.dll, a malicious loader (v.1)"
sha256,5e19f77df4d5241985e94e2770b94ed6f7fbaa977d516f44bb24f2cff1bca827,"*BASICNETUTILS.dll, a malicious loader (v.1)"
sha256,79bcd6e9dadf67b771a530821abff5944a2f40019bc5e57c59cc037edebfec51,"*BASICNETUTILS.dll, a malicious loader (v.1)"
sha256,ae2e145b36ab2ed129a2d34de435b76a1f4e5a4820d9d623e7018b87f24d0648,"*BASICNETUTILS.dll, a malicious loader (v.1)"
sha256,dc41b8e22c725ee4f8e04f55851b3129f0b8b6b5c2c16aaf893bfe92de440503,"*BASICNETUTILS.dll, a malicious loader (v.1)"
sha256,7fcba1dc809f39fa6b36e923af22fc7c576f3cfb49aaa7248a98d32e9bc90991,a malicious loader (v.1)
sha256,d1652c5153171fb5420a7c647888b23ab43c286eb2331ec661162cc37fb527f3,a malicious loader (v.1)
sha256,849d9e694d3e5d3f0eabcae4b722c2bbed31168d161a4f5d668f351bfa169743,"*UNITYPLAYER.dll, a malicious loader (v.2)"
sha256,1c4ad390cf903e78571fe9c3dbc0f9ff63fda7cae449d81f743a6011e8287caf,"*UNITYPLAYER.dll, a malicious loader (v.2)"
sha256,be061c8bb82cd52d2f76aeb1e3ba2448c1a3230dd7eda1250d272648af4669ca,"*UNITYPLAYER.dll, a malicious loader (v.2)"
sha256,9a17c5a4f48367557f06dacd3aefaa132214cb4163bc6b6cf43e06041936a69e,"*UNITYPLAYER.dll, a malicious loader (v.2)"
sha256,99f6932e3de96d6558f37030fce5007a13bed9de8617935dcad25e7be551b2a2,"*UNITYPLAYER.dll, a malicious loader (v.2)"
sha256,11359b92b062c426d58fcf738b4f92644c7bdd7e9f47a3ab9e1cb54ad29e6dc4,"*D3dx9_43.dll, a malicious loader (v.3)"
sha256,49a1826a70ef6a373910ebf43bb441213ec195e68c9a242e4bead60f7e04609b,"*d3dx9_43.dll, a malicious loader (v.3)"
sha256,1b32c531aca954a7812c65ea41b85941e199aa78ace782f17d9307f5f51f4e43,"*templateX.txt, an encrypted payload (v.1)"
