Indicator_type,Data,details
Description,https://news.sophos.com/en-us/2023/07/11/microsoft-revokes-malicious-drivers-in-patch-tuesday-culling,Signer details and compile dates for malicious signed drivers; Not all file hashes are available
sha256,00a0a09e08abca816857c446f88972ea78a3cee9833980df48b069f9612ba727,"Signed by Microsoft with thumbprint 8B2627FECD69A799EC949D7989D90D4B3E8801AB, compiled on 2022-02-09"
sha256,0440ef40c46fdd2b5d86e7feef8577a8591de862cfd7928cdbcc8f47b8fa3ffc,"Signed by another certificate with thumbprint AF5A136DCCED63DEFC29502FEDE9BFF7E2C16A8C, compiled on 2022-06-02"
sha256,05b146a48a69dd62a02759487e769bd30d39f16374bc76c86453b4ae59e7ffa4,"Signed by Microsoft with thumbprint 451B7F8A4C0E669189E9382A09E423C2B875AD42, compiled on 2022-08-20"
sha256,07d09c2b6dcd61eb5885bf2a43dbf34e4e18a173c286e5f75adb6cdd7af0a8c6,"Signed by Microsoft with thumbprint 451B7F8A4C0E669189E9382A09E423C2B875AD42, compiled on 2022-12-29"
sha256,0a6116a00f97f37499da064234901c8a4e99a271318724416ff0634846463351,"Signed by Microsoft with thumbprint 451B7F8A4C0E669189E9382A09E423C2B875AD42, compiled on 2022-12-15"
sha256,0d10c4b2f56364b475b60bd2933273c8b1ed2176353e59e65f968c61e93b7d99,"Signed by Microsoft with thumbprint 451B7F8A4C0E669189E9382A09E423C2B875AD42, compiled on 2022-09-15"
sha256,128777e7645fd2afd84a685e80c7489ff957523af78dcb6d9e3629914cc64455,"Signed by Microsoft with thumbprint 451B7F8A4C0E669189E9382A09E423C2B875AD42, compiled on 2022-12-25"
sha256,12d8428f77eb7e19b5cf464b37bfd1434b6d3fe3d02835ef0ce753046882634f,"Signed by Microsoft with thumbprint 451B7F8A4C0E669189E9382A09E423C2B875AD42, compiled on 2022-12-25"
sha256,14021b3a6eaca0718a03c39b602e12aea2e78d70e0a33dcb3fcc8c66d4f2e167,"Signed by Microsoft with thumbprint 451B7F8A4C0E669189E9382A09E423C2B875AD42, compiled on 2022-12-15"
sha256,14548599eb896bfc045bb7f51ce2084c2f94745fb5a07fc795c6e220078f2c09,"Unsigned, compiled on 2022-01-26"
sha256,1f343d83355bc8c42bbeecdfb8f8ed38cd3b3cc0826beafa84ed660c6813864d,"Signed by Microsoft with thumbprint 984E03B613E8C2AE9C692F0DB2C031BF3EE3A0FA, compiled on 2021-06-15"
sha256,2088764efe780fcde3a7623b330e8319280c26e481bed8fc3e8726bfddc1ea53,"Signed by Microsoft with thumbprint 451B7F8A4C0E669189E9382A09E423C2B875AD42, compiled on 2022-11-09"
sha256,274340f7185a0cc047d82ecfb2cce5bd18764ee558b5227894565c2f9fe9f6ab,"Signed by Microsoft with thumbprint 451B7F8A4C0E669189E9382A09E423C2B875AD42, compiled on 2022-09-15"
sha256,29ad536ee41c769b63393d6b1e053da1f264c4bf2818b0af8a1fe9e224820d0b,"Signed by Microsoft with thumbprint EA2A543D70F210F2BA567609DA0E8BF96135E57D, compiled on 2021-04-08"
sha256,2e25a5399bf56768684297709e6cce6d12f3a456afccd9954e490a1d6c524603,"Signed by Microsoft with thumbprint 451B7F8A4C0E669189E9382A09E423C2B875AD42, compiled on 2022-12-29"
sha256,3908a695fe5e63fccb435c047367224edb0ccf51aa07dcbbd74872d28570db98,"Signed by another certificate with thumbprint 8B2627FECD69A799EC949D7989D90D4B3E8801AB, compiled on 2022-02-14"
sha256,39c1f5adeb3607be9bba55b46bc3041cdef6ce7a5612d4397d1c65818610327c,"Signed by Microsoft with thumbprint 451B7F8A4C0E669189E9382A09E423C2B875AD42, compiled on 2022-12-25"
sha256,3f6b94e3e0e7c5dcc856a3448bbe1dc08f2779a0c7e0aeb8230d8304c5e0a47a,"Signed by Microsoft with thumbprint 451B7F8A4C0E669189E9382A09E423C2B875AD42, compiled on 2022-12-28"
