Indicator_type,Data,Note
Description,Indicators from https://news.sophos.com/en-us/2021/08/03/trash-panda-as-a-service-raccoon-stealer-steals-cookies-cryptocoins-and-more/,
sha256,be351f0654045ac95d35f21dc94576adfcd8ee976f48f430db9be75569cd95f8,
sha256,71f97ec74c9d00a4c22c2905692dd1933c0ec86afa8fe7800fcb06a92fc933ee,
sha256,f15ec4e938667248ae7ec3f0c754bafa8b1978cd5ee043755854783d78d06ab9,
sha256,1935d92f1fbc8a6ef85e72c7b25d80dabe8ea7db42c42446a3c01076c3aad750,
sha256,38b605f9fac77ac0bf9b13067a13fe02ac76ebee5fbd11a0e0ca869f268a6b3c,
sha256,5caffdc76a562e098c471feaede5693f9ead92d5c6c10fb3951dd1fa6c12d21d,
sha256,14c7bec7369d4175c6d92554b033862b3847ff98a04dfebdf9f5bb30180ed13e,
sha256,5caffdc76a562e098c471feaede5693f9ead92d5c6c10fb3951dd1fa6c12d21d,
sha256,e10a97b02915dc3b2962603b9d173043906c4ecb865c7a8a64c6dcee66d30967,
sha256,ea50f0afe88df5256b2f596b8ecde1f12779f496cd9a7d482d2182d6f789a57f,
sha256,d9bb8e2ccfb5f98ca1097224493dc4f166291ee7b11fd13eaf9d0ef3cd379807,
sha256,e950dd74f002df712925abe0c8ed18cc0cf38c53e5cb57eb68610e00da14c0f3,
domain,cheapdealnow.top,
domain,f0473248.xsph.ru,
domain,xsph.ru,
domain,bbhmnn778.fun,
domain,telete.in/jbitchsucks,
ip,88.99.66.31,
path,/gate/log.php,
path,/gate/sqlite3.dll,
path,/gate/libs.zip,
url,f0473248.xsph.ru/ApplicationFrameHost.exe,
